date,total_request,carts_num_pods,carts_desired_replicas,carts_cpu_usage,carts_mem_usage,carts_traffic_in,carts_traffic_out,carts_latency,catalogue_num_pods,catalogue_desired_replicas,catalogue_cpu_usage,catalogue_mem_usage,catalogue_traffic_in,catalogue_traffic_out,catalogue_latency,front-end_num_pods,front-end_desired_replicas,front-end_cpu_usage,front-end_mem_usage,front-end_traffic_in,front-end_traffic_out,front-end_latency,orders_num_pods,orders_desired_replicas,orders_cpu_usage,orders_mem_usage,orders_traffic_in,orders_traffic_out,orders_latency,payment_num_pods,payment_desired_replicas,payment_cpu_usage,payment_mem_usage,payment_traffic_in,payment_traffic_out,payment_latency,shipping_num_pods,shipping_desired_replicas,shipping_cpu_usage,shipping_mem_usage,shipping_traffic_in,shipping_traffic_out,shipping_latency,user_num_pods,user_desired_replicas,user_cpu_usage,user_mem_usage,user_traffic_in,user_traffic_out,user_latency
2024-10-27 22:54:12,3.4,1,2.0,0.3833333333333333,22,0.0,1.0,0.33,1.0,1.0,0.24,0.0,0.0,0.0,0.33,1.0,1.0,0.1533333333333333,8,1.0,10,0.33,1.0,1.0,0.066,0.0,0.0,1.0,0.33,1.0,1.0,0.02,0.0,0.0,0.0,0.33,1.0,2.0,0.2633333333333333,38.0,0.0,0.0,0.33,1.0,1.0,0.0333333333333333,0.0,1.0,1.0,0.33
2024-10-27 22:54:27,4.0,1,4.0,1.0766666666666669,0,0.0,1.0,0.37,1.0,1.0,0.26,0.0,4.0,4.0,0.37,1.0,2.0,0.2566666666666666,3,9.0,38,0.37,1.0,1.0,0.148,52.0,1.0,2.0,0.37,1.0,1.0,0.015,0.0,0.0,0.0,0.37,1.0,1.0,0.2066666666666666,0.0,0.0,1.0,0.37,1.0,1.0,0.0433333333333333,1.0,1.0,2.0,0.37
2024-10-27 22:54:43,4.9,2,5.0,0.7066666666666667,49,1.0,3.0,0.31,1.0,1.0,0.185,1.0,5.0,5.0,0.31,1.0,2.0,0.27,0,9.0,34,0.31,1.0,3.0,0.316,0.0,1.0,2.0,0.31,1.0,1.0,0.015,0.0,0.0,0.0,0.31,1.0,1.0,0.1133333333333333,62.0,0.0,0.0,0.31,1.0,1.0,0.05,0.0,3.0,3.0,0.31
2024-10-27 22:54:58,42.5,3,3.0,0.2166666666666666,5,1.0,3.0,1.0,1.0,1.0,0.08,0.0,5.0,5.0,1.0,1.0,4.0,0.8666666666666667,1,16.0,45,1.0,1.0,4.0,0.54,30.0,2.0,3.0,1.0,1.0,1.0,0.015,0.0,0.0,0.0,1.0,1.0,1.0,0.0366666666666666,16.0,0.0,0.0,1.0,1.0,1.0,0.1,0.0,5.0,5.0,1.0
2024-10-27 22:55:13,40.0,3,8.0,1.0266666666666666,29,5.0,7.0,1.1,1.0,3.0,0.83,0.0,43.0,40.0,1.1,3.0,6.0,0.6622222222222223,2,94.0,281,1.1,1.0,5.0,0.894,0.0,5.0,9.0,1.1,1.0,1.0,0.02,0.0,1.0,0.0,1.1,1.0,2.0,0.4,0.0,0.0,1.0,1.1,1.0,2.0,0.32,0.0,14.0,15.0,1.1
2024-10-27 22:55:30,52.0,6,8.0,0.5127777777777778,30,3.0,5.0,0.85,3.0,3.0,0.4433333333333333,0.0,54.0,51.0,0.85,4.0,6.0,0.4966666666666666,9,89.0,273,0.85,4.0,5.0,0.2435,0.0,8.0,14.0,0.85,1.0,1.0,0.03,0.0,1.0,1.0,0.85,1.0,5.0,1.4933333333333334,0.0,1.0,1.0,0.85,1.0,2.0,0.3733333333333333,0.0,22.0,22.0,0.85
2024-10-27 22:55:47,55.7,8,8.0,0.5058333333333334,8,3.0,4.0,0.79,3.0,3.0,0.3766666666666666,0.0,60.0,57.0,0.79,4.0,8.0,0.7116666666666667,3,107.0,355,0.79,4.0,7.0,0.321,5.0,6.0,11.0,0.79,1.0,1.0,0.105,0.0,1.0,0.0,0.79,3.0,4.0,0.3355555555555555,0.0,1.0,1.0,0.79,1.0,2.0,0.3533333333333333,0.0,23.0,21.0,0.79
2024-10-27 22:56:03,54.9,8,8.0,0.9825,22,3.0,4.0,0.71,3.0,3.0,0.455,0.0,77.0,70.0,0.71,4.0,8.0,0.7258333333333333,9,118.0,369,0.71,4.0,8.0,0.5445,51.0,1.0,2.0,0.71,1.0,1.0,0.015,0.0,0.0,0.0,0.71,3.0,1.0,0.0244444444444444,0.0,0.0,1.0,0.71,1.0,2.0,0.3066666666666666,0.0,23.0,21.0,0.71
2024-10-27 22:56:20,53.8,8,8.0,1.7708333333333333,65,1.0,2.0,0.84,3.0,4.0,0.5366666666666666,0.0,73.0,69.0,0.84,4.0,8.0,0.6041666666666666,4,118.0,388,0.84,8.0,8.0,0.76375,17.0,1.0,2.0,0.84,1.0,1.0,0.005,0.0,0.0,0.0,0.84,3.0,8.0,1.0277777777777777,13.0,0.0,0.0,0.84,1.0,2.0,0.2966666666666667,0.0,26.0,23.0,0.84
2024-10-27 22:56:38,74.4,8,8.0,1.7933333333333332,42,1.0,3.0,0.82,3.0,3.0,0.4883333333333333,0.0,74.0,69.0,0.82,5.0,7.0,0.4206666666666667,15,122.0,410,0.82,8.0,8.0,0.78925,14.0,2.0,3.0,0.82,1.0,1.0,0.01,0.0,0.0,0.0,0.82,5.0,8.0,0.8266666666666667,10.0,0.0,0.0,0.82,1.0,2.0,0.3166666666666666,0.0,26.0,23.0,0.82
